"Date","Samsung","Apple","Huawei","Xiaomi","Oppo","Unknown","Mobicel","LG","Motorola","Lenovo","Nokia","Sony","Asus","Google","OnePlus","BBK","HTC","Tecno","General Mobile","Micromax","ZTE","Lava","Infinix","Alcatel","Realme","Itel","Hisense","Gionee","Vestel","QMobile","Wiko","Casper","Vodafone","Coolpad","Meizu","Lyf","Opp","bq","Panasonic","LeEco","Xolo","Turkcell","Symphony","RIM","Condor","Intex","Vivo","InFocus","Karbonn","Mobiistar","Blu","Comio","Neffos","Smartisan","Reliance Digital","Smartfren","Lanix","Sharp","Kyocera","Spice","AIS","True","Caterpillar","Sumsung","Yu","Archos","Acer","MyPhone","BlackBerry","Other"
2019-01,32.16,22.85,7.87,7.88,4.49,4.43,3.04,2.78,2.72,1.77,1.16,0.79,0.57,0.49,0.5,0.6,0.76,0.39,0.46,0.6,0.35,0.4,0.24,0.2,0,0.24,0.03,0.26,0.08,0.13,0.16,0.04,0.09,0.12,0.06,0.11,0,0.05,0.09,0.06,0.05,0.07,0.04,0.06,0.05,0.07,0,0.04,0.05,0.01,0.03,0.04,0.02,0.01,0.04,0.02,0.01,0.01,0.01,0.03,0.04,0.04,0.01,0,0.02,0.02,0.01,0.01,0,0.19
2019-02,31.52,23.28,8.12,8.03,4.46,4.65,3.12,2.74,2.77,1.7,1.19,0.75,0.54,0.53,0.52,0.58,0.72,0.39,0.36,0.57,0.33,0.37,0.23,0.19,0,0.24,0.03,0.25,0.07,0.15,0.13,0.03,0.08,0.11,0.06,0.11,0,0.05,0.09,0.06,0.05,0.06,0.06,0.05,0.04,0.06,0,0.04,0.04,0.01,0.02,0.04,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.03,0.03,0.02,0.01,0,0.02,0.02,0.01,0.01,0,0.17
2019-03,31.77,22.4,8.57,7.52,4.41,4.11,2.65,2.89,2.72,1.51,1.19,1.15,0.91,0.52,0.6,0.68,0.66,0.48,0.36,0.47,0.39,0.36,0.32,0.33,0.02,0.25,0.05,0.26,0.16,0.15,0.19,0.11,0.11,0.1,0.09,0.1,0,0.1,0.09,0.08,0.07,0.06,0.07,0.06,0.05,0.05,0,0.05,0.04,0.02,0.03,0.03,0.03,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.29
2019-04,32.16,22.76,8.72,7.21,4.35,4.19,2.58,2.87,2.62,1.41,1.13,1.14,0.93,0.55,0.6,0.63,0.66,0.43,0.44,0.4,0.37,0.33,0.29,0.34,0.03,0.23,0.05,0.22,0.2,0.15,0.17,0.13,0.11,0.09,0.09,0.09,0,0.09,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.04,0,0.04,0.03,0.02,0.03,0.02,0.03,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.27
2019-05,31.55,22.66,8.97,7.46,4.42,4.49,2.73,2.89,2.68,1.35,1.13,1.11,0.95,0.6,0.61,0.62,0.62,0.47,0.36,0.39,0.36,0.31,0.29,0.32,0.03,0.23,0.05,0.21,0.17,0.11,0.15,0.11,0.1,0.09,0.08,0.08,0,0.08,0.07,0.07,0.07,0.05,0.07,0.05,0.03,0.04,0,0.04,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.25
2019-06,31.98,22.04,9.04,7.39,4.21,5.03,2.82,2.81,2.69,1.33,1.12,1.01,0.88,0.63,0.6,0.6,0.58,0.42,0.47,0.38,0.36,0.32,0.29,0.3,0.04,0.23,0.04,0.21,0.21,0.14,0.13,0.14,0.1,0.08,0.07,0.08,0,0.07,0.07,0.06,0.07,0.06,0.09,0.04,0.05,0.04,0,0.04,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.24
2019-07,31.13,22.01,9.15,7.76,4.46,5.36,3.26,2.56,2.63,1.3,1.11,0.94,0.87,0.62,0.58,0.66,0.54,0.4,0.42,0.35,0.33,0.31,0.28,0.28,0.04,0.22,0.14,0.2,0.19,0.14,0.12,0.12,0.09,0.08,0.08,0.07,0,0.06,0.07,0.06,0.06,0.06,0.08,0.04,0.05,0.04,0,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.23
2019-08,31.47,22.17,9.02,8.38,4.73,3.69,3.31,2.59,2.56,1.22,1.08,0.9,0.87,0.62,0.58,0.59,0.52,0.46,0.42,0.32,0.32,0.29,0.29,0.31,0.29,0.22,0.23,0.19,0.19,0.15,0.13,0.12,0.09,0.07,0.09,0.06,0.23,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.04,0.07,0.03,0.03,0.04,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.23
2019-09,31.18,22.48,10.02,8.26,4.57,3.16,3.32,2.47,2.48,1.09,1.02,0.85,0.8,0.62,0.65,0.58,0.47,0.45,0.41,0.29,0.29,0.27,0.32,0.29,0.49,0.22,0.45,0.18,0.18,0.13,0.12,0.12,0.08,0.07,0.08,0.06,0.29,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.04,0.03,0.1,0.03,0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.22
2019-10,31.49,22.09,10.02,7.79,4.1,3.27,3.15,2.4,2.41,0.96,0.95,0.84,0.74,2.35,0.7,0.5,0.42,0.42,0.42,0.28,0.27,0.24,0.32,0.27,0.54,0.2,0.51,0.15,0.18,0.12,0.11,0.12,0.08,0.07,0.08,0.05,0.31,0.06,0.05,0.05,0.05,0.05,0.03,0.03,0.04,0.03,0.1,0.03,0.02,0.04,0.02,0.02,0.02,0.04,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.24
2019-11,31.36,22.9,10.18,8.16,4.42,3.21,3.41,2.4,2.4,0.97,0.97,0.83,0.75,0.66,0.73,0.45,0.4,0.45,0.43,0.24,0.27,0.22,0.32,0.27,0.78,0.19,0.52,0.14,0.19,0.13,0.1,0.13,0.08,0.07,0.07,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.02,0.03,0.04,0.03,0.08,0.03,0.02,0.04,0.02,0.02,0.02,0.05,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.26
2019-12,31.37,24.79,9.95,7.73,4.23,2.67,3.19,2.54,2.5,0.87,0.9,0.77,0.7,0.75,0.74,0.39,0.38,0.43,0.42,0.18,0.27,0.18,0.33,0.27,0.84,0.18,0.53,0.12,0.19,0.11,0.09,0.14,0.07,0.07,0.07,0.04,0,0.06,0.04,0.04,0.04,0.05,0.02,0.03,0.04,0.02,0.08,0.02,0.01,0.03,0.02,0.01,0.02,0.04,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.24
